orden,rama,ocupacion,tareas,tecno
8364,REGISTRO CIVIL,ADMINISTRATIVA,TAREAS ADMINISTRATIVAS VARIAS,"PAPELES, LAPICERA, NADA"
8374,"VINO, BODEGA","SUPERVISOR DE BODEGA, ENCARGADO MECANICO","SUPERVISION DE LA BODEGA, ARREGLABA MAQUINAS",HERRAMIENTAS DE FRACCIONAMIENTO
8378,SERVICIO DE TRANSPORTE,MECANICO DE MAQUINARIAS,"ARREGLO DE VIAS, TRENES","MAQUINAS DE LA FABRICA, MECANICA EN GENERAL"
8384,BOLICHES,SEGURIDAD,"VIGILAR, CONTROLAR",NINGUNA
8393,EVENTOS PRIVADOS,MOZA,SIRVE MESAS,BANDEJA
8402,ESCUELA DE EDUCACION PRIMARIA,MAESTRA DE NIVEL PRIMARIO,EDUCACION PRIMARIA,"LIBROS, ARTICULOS DE EDUCACION"
8409,"SECADERO DE FRUTAS, CORTA DE FRUTAS",EMPLEADA DE SECADERO,"ACARREABA FRUTAS, CARGABA CAMIONES","CINTAS SECADORAS, PLACAS, CAMIONES"
8413,CENTRO MEDICO,AUXILIAR KINESIOLOGIA,REHABILITACIONES,"CREMAS, MANOS"
8421,METALURGICA,METALURGICO,SOLDAR,"SOLDADORA, MASCARA"
8423,AMA DE CASA,AMA DE CASA,LIMPIEZA Y MANTENIMIENTO DEL HOGAR,
8428,ESTUDIO JURIDICO,ADMINISTRATIVO,PAPELERIO EN OFICINA,COMPUTADORA
8438,COMERCIO,CHOFER,"CONDUCIR CAMION, ENTREGA DE MERCADERIA","CAMION, PLANILLAS"
8441,CUIDADO DE ENFERMOS,CUIDADORA DE ENFERMOS,"CAMBIAR PAÑALES, BAÑAR A LA PERSONA","PAPAGAYO, GUANTES"
8443,CONSTRUCCION,ALBAÑIL,"CONSTRUCCION, REPARACION DE VIVIENDAS","CEMENTO, BALDE"
8466,TRABAJA EN UN IMPRENTA,EMPLEADO GRAFICO,"FORMULARIOS, FOLLETOS","COMPUTADORA, IMPRENTA, TINTA"
8476,DEPILACION,DEPILADORA,DEPILACION,"CERA, OLLAS, LOCIONES"
8479,POLICIA FEDERAL,POLICIA,ADMINISTRATIVO,"COMPUTADORA, RADIO, CELULARES"
8480,HACIENDA,HACENDADO,CUIDABA EL CAMPO,"TRACTOR, CABALLOS"
8481,"MUNICIPALIDAD, CEMENTERIO",CAPATAZ DE CEMENTERIO,LLEVAR AL PERSONAL MUNICIPAL Y ESTAR A CARGO,"TRACTOR, CASCOS"
8493,CONSTRUCCION,ALBAÑIL,AYUDANTE DE CONSTRUCCION,"CARRETILLA, PALA"
8500,GASTRONOMICO,CHEF,ELABORACION DE COMIDAS,UTENSILIOS DE COCINA
8501,"COMERCIANTE, KIOSCO",VENDEDOR,ATENCION AL CLIENTE,CAJA REGISTRADORA
8514,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA EN GENERAL,"BALDE, ESCOBA, GUANTES"
8516,AGENCIA DE AUTOS,LAVADERO,LAVA AUTOS,"GUANTES, HIDROLAVADORA, BOTAS"
8523,SUBCONTRATISTA DE OBRAS,CONTRATISTA DE OBRAS DE CONSTRUCCION,CONTRATACIONES,"COMPUTADORA, CELULAR"
8525,CONSTRUCCION,ALBAÑIL,"CONSTRUCCION, ALBAÑILERIA",TODO PARA LA CONSTRUCCION
8541,EMPRESA CITRICOLA,ADMINISTRATIVO DE DEPOSITO,PAPELEO REFERIDO AL DEPOSITO DE LA EMPRESA,"PAPELES, COMPUTADORA"
8545,COMERCIO DE ARTICULOS PARA VEHICULOS,COMERCIANTE,VENTA DE RESPUESTA DE VEHICULOS,COMPUTADORA
8547,COMERCIO POLIRRUBRO,"VENTA DE PRODUCTOS GENERALES, MERCADERIA, ROPA",VENDEDORA,"BALANZA, CAJA REGISTRADORA, CORTADORA DE FIAMBRE"
8575,NEGOCIO PROPIO,,,
8590,CHOFER DE CAMIONES,CHOFER,TRANSPORTE DE DISTINTAS CARGAS EN CAMIONES,CAMIONES
8599,COCA-COLA,SUPERVISOR DE TURNO DE PRODUCCION,SUPERVISABA LA PRODUCCION,"UNIFORME, PLANILLAS"
8600,CENTRO COMUNITARIO DE JUBILADOS,PROFESORA DE TEJIDO Y BORDADO,ENSEÑABA A TEJER Y BORDAR A LOS JUBILADOS,"LANA, AGUJAS DE TEJER"
8604,TALLER DE CHAPA Y PINTURA,CHAPISTA,"REPARACION DE CHAPA EN VEHICULOS, PINTURA DE VEHICULOS","TUBOS DE OXIGENO, SOLDADOR ELECTRICO, AMOLADORA"
8605,EMPRESA REFINADORA DE AZUCAR,SECRETARIA ADMINISTRATIVA,"REALIZACION Y ORGANIZACIÃ“N DE PLANILLAS, LIMPIEZA DE OFICINA","COMPUTADORA, ELEMENTOS DE LIMPIEZA"
8611,INGENIO AGUILARES,PORTERO,CUIDABA LA PUERTA DE ENTRADA,PLANILLA DE REGISTRO DE ENTRADA Y SALIDA
8625,TALLER DE BICICLETERIA,BICICLETERO,"ARREGLA LAS BICICLETAS, EMPARCHAR CAMARAS","PARCHES, LLAVE, FRANCESA"
8631,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,TAREAS DEL HOGAR,UTENSILIOS DE LIMPIEZA Y COCINA
8633,TRIBUNALES FEDERALES,SECRETARIO DE CAMARA,CONTROL DE DOCUMENTOS Y ESCRITOS,COMPUTADORA
8634,"RADIO, ESTABLECIMIENTO EDUCATIVO","PERIODISTA, DOCENTE DE COMUNICACIÃ“N","LOCUCION, ENSEÑANZA","MICROFONO Y AURICULARES, TIZA Y PIZARRON"
8643,EMPRESA DE PRODUCTOS LACTEOS,OBRERO,TRABAJABA EN LA MAQUINA ENSACHETADORA,MAQUINA ENSACHETADORA
8644,981,CUIDA A UNA PERSONA ENFERMA,"CUIDA EN UNA PERSONA MAYOR, LIMPIA Y PLANCHA","ESCOBA, BALDE"
8656,VERDULERIA,VERDULERO,AYUDAN CON LA VENTA,"BALANZA, ESTANTES"
8658,981,EMPLEADA DOMESTICA,LIMPIEZA,ELEMENTOS DE LIMPIEZA
8659,VENTA AMBULANTE,VENDEDORA AMBULANTE,VENDEN MERCADERIA EN LA VIA PUBLICA,MOTOCARRO O MOTOCARGA
8660,VENTA AMBULANTE,VENDEDORA AMBULANTE,VENDEN MERCADERIA EN LA VIA PUBLICA,MOTOCARRO O MOTOCARGA
8671,CONSTRUCCION,AYUDANTE DE ALBAÑILERIA,"AYUDO EN HACER MEZCLA, REVOCAR, ALCANZAR LADRILLOS","PALA, CUCHARA, MARTILLO, CORTAFIERRO, PALA, MEZCLADORA"
8679,981,EMPLEADA DOMESTICA,"LIMPIABA, LAVABA Y PLANCHABA","ESCOBA, TRAPO DE PISO, DETERGENTE, PLANCHA"
8689,TAXISTA,CHOFER DE TAXI,MANEJAR TAXI,"AUTO, DELANTAL"
8691,BAR,MOZA,"GASTRONOMIA, PREPARA LOS SANDWICH, CAFÃ‰",
8696,CASA DE COMIDAS,COCINERA,COCINABA,"ELEMENTOS DE COCINA, OLLAS, PLATOS, CUCHILLOS"
8697,AGENCIA DE QUINIELA,ATENCION AL PUBLICO,"COBRAR, ANOTAR EL NUMERO DE LA QUINIELA",MAQUINA OFF
8703,"PARTICULAR QUE TIENE AUTOS, TAXIS, Y LOS ALQUILA",CHOFER DE TAXI,MANEJO UN TAXI,AUTO
8718,"CONSTRUCCION DE CASAS, EDIFICIOS",ALBAÑIL,"CONSTRUIR, REPARACIONES, PREPARAR MATERIALES","PALA, MARTILLO, ESPATULA, BALDES, METRO, CARRETILLA"
8720,VENDEDOR DE FERIA,VENDEDOR,"VENDER, ACOMODAR MERCADERIA, ATENCION AL PUBLICO","CALCULADORA, LAPICERA, CAJA, CELULAR"
8721,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,"LIMPIAR, COCINA, CUIDAR NIÑOS","ESCOBA, DETERGENTE, PLUMERO, COCINA"
8724,SERVICIO DOMESTICO,MUCAMA,"LIMPIEZA, COMPRAS, COCINAR, CUIDAR A ANCIANO","COCINA, ESCOBA, PLUMERO, ESPONJAS, CEPILLO"
8729,981,MUCAMA,"COCINAR, LIMPIABA, LAVAR ROPA- PLATO, COMPRA","COCINA, HORNO, LAVARROPA, CEPILLO, DETERGENTE"
8733,981,MUCAMA,"LIMPIEZA, LAVAR PLATOS,- ROPA, COCINAR, PLANCHAR","ESCOBA, COCINA, LAVARROPAS, PLUMERO"
8735,981,MUCAMA,"LIMPIEZA, LAVAR PISOS, ROPA, PLANCHAR","ESCOBA, ESPONJA, PLANCHA, GUANTES, DELANTAL"
8747,"AZUCAR, INGENIO CONCEPCION",,MANTENIMIENTO DE LAS INSTALACIONES,"CASCO, BOTINES, GUANTES, UNIFORME"
8748,FABRICA DE ROPA Y REPARACIONES,,"CORTAR Y COSER TELA, ,MEDIR","MAQUINA DE COSER, TIJERAS, HILOS"
8753,SERVICIOS,ADMINISTRATIVO,LOGISTICA Y PROCESOS,"COMPUTADORA, CELULAR"
8755,ESCUELA PRIMARIA,DOCENTE,"EXPLICAR, CORREGIR, CONTROLAR, ENSEÑAR","TINTA, BIROME, BORRADOR, TIZA, CUADERNO"
8756,COMPRA Y VENTA DE PRODUCTOS,VIAJANTE COMERCIAL,"VIAJAR POR BUSCAR DE MERCADERIAS, INVENTARIOS","CAMION, CUADERNO, LAPICERAS"
8758,ESCUELA DE NIVEL MEDIO,DOCENTE,ENSEÑAR,"PLANILLAS, LIBROS"
8759,ESCUELA DE NIVEL MEDIO,DOCENTE,ENSEÑAR,"PLANILLAS, LIBROS"
8773,UNIVERSIDAD,PROFESOR,DICTADO DE CLASES,NINGUNA
8774,UNIVERSIDAD,PROFESOR,DICTADO DE CLASES,NINGUNA
8776,EMPRESA PRIVADA,GERENTE ADMINISTRATIVO,CONTADOR,"CALCULADORA, LAPICERAS, FACTURAS"
8786,ANSES,ADMINISTRATIVO,ATENCION AL PUBLICO,COMPUTADORA
8789,VINO - BODEGA,ENOLOGO,VENTA DE VINOS,AUTO
8793,FABRICA DE TELAS,CAJERA,"CONTABILIZAR DINERO, VENTAS",CAJA REGISTRADORA Y DINERO
8796,DIRECCION EN UNA ESCUELA,DOCENTE CON CARGO ADMINISTRATIVO,CARGA BONOS DE SUELDO A DOCENTES,COMPUTADORA PRINCIPALMENTE
8805,EMPRESA GARCIA,ASERRADERO,"SACAR MADERA, LLEVAR ALAMOS, REALIZAR CORTES",SIERRA
8809,DIRECCION GENERAL DE ESCUELAS,CELADORA,LIMPIEZA,"BALDE, ESCOBA, LAMPAZO"
8811,DOMESTICO,LIMPIEZA,LIMPIEZA,
8816,"INDEPENDIENTE, ELABORACION DE DULCE ARTESANAL",ELABORADOR DE DULCES CASEROS,,"FRASCO, CUCHARAS, OLLAS"
8826,EDUCACION,"PROFESORA DE EDUCACION FISICA, NIVEL PRIMARIO Y SECUNDARIO",CLASES DE EDUCACION FISICA,MATERIAL DEPORTIVO
8828,POLICIA,"POLICIA, OFICIAL, COMISARIO",TAREAS DE GESTION DE JURISDICCION COMO COMISARIO,"TELEFONO, LAPICERA, MAQUINA DE ESCRIBIR"
8830,EMPRESA DE SEGUROS,COBRADOR DE SEGUROS,COBRAR,BICICLETA
8831,"CASA DE FAMILIA, CUIDADO DE FAMILIA",NIÑERA,CUIDADO DE NIÑOS,"COSAS DEL HOGAR, MAMADERA"
8837,COMERCIO DE ROPA,VENDEDORA,VENDEDORA,"COMPUTADORA, CAJA"
8841,DIRECCION GENERAL DE ESCUELAS,CELADORA,"LIMPIEZA Y ORDEN DE LA ESCUELA, TRAMITES",PRODUCTOS DE LIMPIEZA
8856,EMPRESA DE COLECTIVOS INTERURBANOS,CHOFER DE COLECTIVO,"CONDUCE EL COLECTIVO, RECIBE DINERO PARA COBRAR EL VIAJE",BOLETERA
8858,"HOSPITAL PUBLICO, PADILLA",ADMINISTRACION,CONTROL DE STOCK Y PEDIDO DE MEDICAMENTOS,"COMPUTADORA, LAPICERA. PAPEL"
8866,VIDRIERA,VIDRIERO,COLOCACION DE VIDRIOS,PRODUCTOS PARA PEGAR EL VIDRIO
8869,CALL CENTER,TELEMARKETER,ATENCION AL PUBLICO,"COMPUTADORA, AURICULAR, MICROFONO"
8873,FARMACIA,CAJERO,"RECIBE DINERO, DA EL VUELTO, REALIZA EL CIERRE DE CAJA",CAJA REGISTRADORA
8927,POLICIA DE LA PROVINCIA,POLICIA,VIGILANCIA Y RONDA POLICIAL,"LIBRETA, NOVEDADES, LAPICERA, ESPOSAS, CHALECO"
8932,DOCENCIA,PROFESORA DE FRANCES,"PROFESA, DOCENCIA",LIBROS
8946,OPTICA JURE,CAJERO,COBRAR,CAJA
8947,SERVICIO DOMESTICO,"EMPLEADA DOMESTICA, NIÑERA",CUIDADO DE NIÑOS,NADA
8958,ESCUELA INSTITUCION PUBLICA,CELADORA,"LIMPIEZA GENERAL, DESAYUNO, ORDENAR",ARTICULOS DE LIMPIEZA Y PRODUCTOS DE LIMPIEZA
8974,MUNICIPALIDAD DE SAN CARLOS,EMPLEADO MUNICIPAL,ADMINISTRATIVO,MANEJA PERSONAL EN LA RIPIERA
8976,JUBILADO DOCENTE PRIMARIO,DOCENTE PRIMARIO,MAESTRO DE GRADO,DOCENTE SIN COMPUTADORA NI MAQUINAS
8977,JUBILADA AMA DE CASA,AMA DE CASA,AMA DE CASA,AMA DE CASA
8980,9801,EMPLEADA DOMESTICA,LIMPIA,"BALDE, ESCOBA, LAMPAZO"
8995,FINCA,OBRERO DE VIÑA,ARMAR VIÑEDOS,GUANTES Y TIJERA
8996,FINCA,OBRERO RURAL,EMBALLENANDO AJO,NADA
8997,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIA Y CUIDA NIÑOS,"LAMPAZO, ESCOBA"
9015,ESCUELA,DOCENTE,SOY DOCENTE EN UNA ESCUELA Y CUIDA A LOS ALUMNOS,DE VEZ EN CUANTO COMPUTADORA
9021,TRABAJA EN EMPRESA CONSTRUCTORA,"CONTADOR, ADMINISTRADOR",TAREAS DE ADMINISTRACION Y CONTABILIDAD,"COMPUTADORAS, MAQUINA DE CALCULAR"
9027,EMPLEADO DE COMERCIO,EMPLEADO,VENDEDOR DE COMERCIO,
9028,MUNICIPALIDAD,AYUDANTE DE CAMION,"LIMPIEZA DE ACEQUIAS, RECOLECTOR DE ESCOMBROS",PALA
9029,ELABORACION DE PAN,PANADERA,ELABORACION DE PAN Y TORTAS,"AMASADORA, SOBADORA, HORNO"
9043,CUIDADOR DE COCHES,CUIDA-COCHES,CAMINAR Y MIRAR LOS AUTOS,NADA
9045,"NEGOCIO, DESPENSA",VENDEDORA,"COBRAR, VENDER, COMPRAR EN LA FERIA O A PROVEEDORES",HELADERA
9051,CARPINTERIA,CARPINTERO INDEPENDIENTE,"TRABAJOS CON MADERA, PUERTAS, VENTANAS, MUEBLES","TUPI, GARLOPA, SINFÃN"
9053,CARPINTERIA,AYUDANTE DE CARPINTERIA,COLABORAR CON EL ARMADO DE PUERTAS Y VENTANAS,"TUPI, GARLOPA, SINFÃN"
9060,COMERCIO MINIMARKET,VENDEDORA,"ATENDER Y VENDER ALIMENTOS, GOLOSINAS",CALCULADORA
9071,"VENTA DE ALIMENTOS Y UTILES, BUFFET DE COLEGIO",VENDEDORA DE KIOSCO,"VENDE, SACA COPIAS, COMPRA DE MERCADERIA Y PAGA IMPUESTOS","FOTOCOPIADORA, VITRINAS, HELADERAS, CAJA PARA COBRAR"
9072,EDIFICIO CON DEPARTAMENTOS RESIDENCIALES,EMPLEADA DE LIMPIEZA DE ESPACIOS COMUNES DE DEPARTAMENTOS,"LAVA EL PISO, BARRE, PASA EL LAMPAZO, LIMPIA VIDRIOS","ARTICULOS DE LIMPIEZA, MOPA, ESCOBA, LAMPAZO, VALERINAS"
9073,VENTA DE ALIMENTOS,ALMACENERO,"ATENCION AL PUBLICO, ENTREGA DE PEDIDOS, OBRAS Y PAGOS","VEHICULO PROPIO, CALCULADORA, BALANZA, CAJA"
9077,"OBRAS CIVILES, CONTRATISTA DE YPF",OPERARIO,CONDUCTOR DE CAMION,"VEHICULOS, HERRAMIENTAS INDUSTRIALES"
9091,TRABAJO ADMINISTRATIVO EN TELEFONICA,ADMINISTRATIVO,ORGANIZAR PAGOS Y ATENCION A PROVEEDORES,"PC, ESCRITORIO, LAPICERA, LAPIZ, PAPEL"
9092,ADMINISTRATIVA EN UN MUNICIPIO,ADMINISTRATIVO,"ATENCION AL PUBLICO, NOTIFICACIONES","MOSTRADOR, PAPELES"
9095,ATENCION DE PACIENTES DE 1 MEDICO,SECRETARIA DE UN MEDICO,"AGENDAR TURNOS, ATENCION AL PUBLICO","ESCRITORIO, AGENDA, TELEFONO"
9096,TALLER EN REPARACION DE ACCESORIOS DE AUTOS,RESTAURADOR DE ACCESORIOS DE AUTOS,SOLDADORA DE PLASTICOS,"MOLADORA, MAQUINA DE SOLDAR CON TEMPERATURA, TALADRO, LIJADORA"
9097,AMA DE CASA,AMA DE CASA,"LIMPIAR, ORDENAR, LAVAR EL PISO Y PLATOS","LAMPAZO, ESCOBA, VALERINA, REJILLA, MOPA"
9098,"REPARA BICICLETAS, MOTOS Y CORTADORA DE PASTO",MECANICO,"ARREGLAR BICI, MOTOS, MAQUINA DE CORTAR PASTO","SOLDADORA, MOLADORA, LLAVES, AGUJEREADORA"
9107,"VENTA DE OXIGENO Y AIRES, TODO TIPO DE GASES PARA HOSPITALES Y LABORATORIOS",GESTORA DE EMPRESA,"RETIRO VALORES, ENTREGA FACTURACION, PRESENTACION LICITACION, CONTACTO CON EL CLIENTE",AUTO
9115,DIRECCION DE RENTAS DE LA PROVINCIA DE MENDOZA,"CONTADOR PUBLICO NACIONAL, JEFE DE DIVISION",TAREAS DE FISCALIZACION Y AUDITORIA Y GESTION,"COMPUTADORA, INTERNET, PAPEL, LAPICERA"
9116,PETROLERO,EMPLEADO ENCARGADO DE LOGISTICA,LOGISTICA,"COMPUTADORA, MOTOELEVADORES"
9117,SALUD,DIRECTORA DE CENTRO DE SALUD,GESTION,COMPUTADORA
9122,COMERCIO ZAPATERIA,"COMERCIANTE, PROPIETARIO, ZAPATERIA, VENDEDOR",VENTA DE CALZADO,"CALCULADORA, FACTURAS"
9125,CLINICA DE SALUD,"ADMINISTRATIVA, EMPLEADA","ATENCION AL PUBLICO, REALIZACION DE ORDENES DE CONSULTA",COMPUTADORA
9126,COMERCIO DE ROPA,VENDEDORA EN COMERCIO DE ROPA,VENTA DE ROPA,COMPUTADORA
9130,CONFECCION TEXTIL PARA DECORACION,"COSTURERA, CONFECCIONISTA INDEPENDIENTE",CONFECCION TEXTIL,MAQUINA DE COSER
9134,"PETROLEO, REFINERIA",ASISTENTE ADMINISTRATIVO,"TOMA ASISTENCIA PERSONAL, RENDICION DE TARJETAS, TAREAS ADMINISTRATIVAS",COMPUTADORA
9139,EMPRESA DE TRANSPORTE DE PASAJEROS,CONDUCTOR DE OMNIBUS,CONDUCCION DE OMNIBUS,COLECTIVO
9149,EDUCACION,PROFESOR DE HISTORIA,"DAR CLASES, EXPLICAR","CUADERNOS, HOJAS, LAPICERAS"
9161,CONSTRUCCION DE DISFRACES,HACER DISFRACES,COSER DISFRACES,TELAS
9166,PRODUCCION DE BEBIDAS ALCOHOLICAS,OBRERO,MANEJA COMPUTADORAS,COMPUTADORAS
9168,VENTA DE ROPA,VENDEDORA,VENTA DE ROPA,MAQUINA REGISTRADORA
9169,EDUCACION,PROFESORA DE HISTORIA,"EXPLICAR, EVALUAR","CUADERNOS, LAPICERA"
9174,CHOFER DE CAMION,TRANSPORTISTA,"CONDUCCION DE TRANSPORTE, CUIDADO, ASEO",CAMION
9181,"AGRICULTOR INDEPENDIENTE, DUEÑO",OBRERO RURAL,"PODAR, ATAR, COSECHAR","TIJERA, ZAPA, PALA"
9187,ESCUELA,DOCENTE,"DA CLASES EN PRIMARIA, ENSEÑAR A LEER","TIZA, CUADERNO, GUARDAPOLVO"
9196,"CASA, TRABA SOLO EN 1",EMPLEADA DE SERVICIO DOMESTICO,"ASEO, LIMPIEZA, BARRER","PLUMERO, ESCOBA, TRAPO DE PISO"
9198,FERROCARRIL,FERROVIARIO,REPARA VAGONES,"MAQUINA DE SOLDAR, SOPLETE"
9216,LIMPIEZA,EMPLEADA DOMESTICA,LIMPIA UNA VIVIENDA,"ESCOBA, BALDES, ELEMENTOS DE LIMPIEZA"
9217,FUERZA DE SEGURIDAD DE LA PROVINCIA,POLICIA,SALE DE RECORRIDA Y HACE TAREAS DE OFICINA,"LIBRO, BIROME, ESTAFETAS"
9219,"INTA: ESTUDIO DE PLANTAS Y ANIMALES, PRODUCE INFORMACION","AUXILIAR ADMINISTRATIVAS, ATENCION AL PUBLICO","CARGA DE DATOS, COBRO DE CHEQUES, BUSQUEDA DE PRESUPUESTOS, CONTROL DE ASISTENCIA, COMPLETAR PLANILLAS","PC, CALCULADORA, IMPRESORA, PAPELES, PLANILLAS"
9222,"VENTA E INSTALACION, CONSTRUCCION EN SECO","ENCARGADO DE LOCAL, CONSTRUCCION EN SECO","COLOCACION DE CIELO RASO, TABIQUE, DURLOCK","PINZA, TIJERA, AMOLADORA, ATORNILLADORA, ESCALERA"
9226,ARROZ Y GANADO,CAPATAZ RURAL,"INSEMINACION ARTIFICIAL EN VACAS, TACTO, CASTRACIONES0","LAZO, CUCHILLO, REBENQUE, CALCHA, CABALLO, PAJUELA PARA INSEMINACION"
9234,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIA CASAS,"ESCOBA, BALDE, TRAPEADOR"
9236,"PRODUCE FRUTAS, LIMON, NARANJA","CHANGARIN, PEON",ECHA ABONO Y DESPOJA FRUTAS,"CANASTA, CHALECO, ESCALERA, AZADA"
9237,"PRODUCE FRUTAS, LIMON, NARANJA","CHANGARIN, PEON",ECHA ABONO Y DESPOJA FRUTAS,"CANASTA, CHALECO, ESCALERA, AZADA"
9256,AYUDANTE DE ALBAÑIL,AYUDANTE DE ALBAÑIL,"HACE MEZCLA, HACE VARILLAS, PARA LADRILLOS","PALA, BALDE, TENAZA, PINZA, GUANTES"
9257,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIEZA DOMESTICA Y CUIDADO DE NIÑOS,"ESCOBA, ESCURRIDOR, BALDE, TRAPO DE PISO"
9265,CHACRA Y CAMPO PRIVADO,PEON RURAL,CUIDA Y ALIMENTA ANIMALES VACUNAS Y CABALLO,"BOTAS, CABALLO, MACHETE"
9279,COMERCIO DE ABERTURAS,CADETE,"HACE LIMPIEZA, ALZA ABERTURAS, PEDIDOS AL FLETE","SIERRA, ELEVADORA, TENAZA, PINZA"
9285,COMERCIO DE ARTICULOS ESCOLARES,ADMINISTRADOR DEL NEGOCIO,"COMPRA, VENDE Y ORGANIZA EL NEGOCIO","CALCULADORA, COMPUTADORA, FOTOCOPIADORA, MAQUINA DE PRECIOS"
9287,COMERCIO DE ARTICULOS ESCOLARES,VENDEDOR,ATENCION AL PUBLICO,"CALCULADORA, COMPUTADORA, FOTOCOPIADORA"
9299,"""FABRICA TEXTIL """"TIPOITI""""""","ELECTROMECANICO, JEFE DE MANTENIMIENTO","ARREGLA MAQUINAS FABRICADORA DE HILADOS, ENSEÑA A USARLOS","COMPUTADORA, TESTER, MAQUINAS TEXTILES"
9302,AFIP,VERIFICADOR DE MERCADERIA,VERIFICAR LAS MERCADERIAS QUE ENTRAN Y SALEN,MAQUINAS COMPLEJAS
9303,AFIP,ADMINISTRATIVO,"ORGANIZAR, CONTROLAR PAPELES","COMPUTADORA, TELEFONO, FAX, HOJAS"
9309,HERRERIA EN GENERAL,HERRERO,"REJAS, TOLDOS, PORTONES","SOLDADORA, MASCARA, ELECTRODO, CINTA METRICA"
9311,TRANSPORTE DE CAMIONES,TAREAS ADMINISTRATIVAS,"PAPELES DE TRASLADO DE CAMIONES, OFICINA","COMPUTADORA, TELEFONO, FORMULARIOS, LAPICERAS"
9314,CONFECCION Y ARREGLO DE ROPA,MODISTA,"COSER, BORDAR, HACER CROCHET, CAMBIA LOS CIERRES DE LOS PANTALONES","AGUJA, HILO DE COSER, METRO, MAQUINAS"
9320,IVES,REPARTIDOR DE AGUA Y SODA,VENTA Y REPARTO DE AGUAS Y SODAS,"CAMIONETA, BOTELLAS DE AGUA Y BIDONES DE SODA"
9321,INVICO,"SECRETARIA ADMINISTRATIVA, SECTOR PUBLICO",ATENCION AL PUBLICO,"LAPIZ, PAPEL, COMPUTADORA, ESCRITORIO, BANCO"
9327,COMERCIO FAMILIAR INFANTIL,COMERCIO FAMILIAR INFANTIL,CUIDAN Y JUEGAN CON LOS NIÑOS,"LA CALESITA, EL KIOSCO, EL PIPOQUERO"
9332,EN SU HOGAR ES MODISTA,COSTURERA O MODISTA,"COSE, REFACCIONA ROPA, HACE CORTINAS, ARREGLA","MAQUINA DE COSER, TELA, HILO, AGUJAS"
9337,"DISEÑABA CASAS, EDIFICIOS",ARQUITECTO,"DISEÑABA CASAS, EDIFICIOS","PIZARRA, LAPIZ, REGLA, PAPEL, MODELOS, MESAS"
9338,ESCUELA DE EDUCACION PRIMARIA,"MAESTRA DE GRADO, DOCENTE",ENSEÑABA A LOS NIÑOS,"PIZARRON, LIBROS, PAPEL, LAPICES"
9341,REMISERO,"REMIS, CHOFER DE REMIS",TRASLADO DE PASAJEROS,"AUTO, RADIO PARA COMUNICARSE"
9352,"ATENCION DE LA SALUD, HOSPITAL PUBLICO",ENFERMERA,"HACER CURACIONES, PONER INYECCIONES, SUEROS, MEDICAMENTOS","TERMOMETRO, TENSIOMETRO, BALANZA, NEBULIZADOR, TUBO DE OXIGENO"
9354,SEGURIDAD PUBLICA,OFICIAL DE POLICIA,"TAREAS DE OFICINA, DENUNCIAS, EXPOSICIONES",COMPUTADORA
9355,SUPERMERCADO MINORISTA,CAJERA DE SUPERMERCADO,"COBRAR LAS MERCADERIAS, HACER CIERRE DE CAJA",MAQUINA REGISTRADORA
9363,"ADMINISTRACION PUBLICA, MUNICIPALIDAD",JARDINERO,"PLANTAR, CARPIR, LIMPIEZA DE MALEZAS EN ESPACIOS PUBLICOS","AZADA, PALA, TIJERA DE PODAR"
9371,RADIO,LOCUTOR DE PROGRAMA INFORMATIVO,BUSCAR INFORMACION EN DIARIO E INTERNET Y LEER EN LA RADIO,"COMPUTADORA, CONSOLA"
9373,COSTURA DE PRENDAS,MODISTA,COSE ROPA Y HACE ARREGLOS,
9374,"VENTA DE GAS, REPARACION DE MATAFUEGOS",VENDEDOR Y REPARADOR,VENDE GARRAFAS Y REPARA MATAFUEGOS,"PINZAS, AMOLADORA, SOLDADOR, ZORRA"
9377,FABRICA Y VENTA DE ELEMENTOS DE HIERRO,AYUDANTE DE HERRERO,"CORTA Y DOBLA HIERROS, SUELDA Y PINTA","AMOLADORA, SIERRAS, SOLDADOR, SOPLETE"
9381,VENTA DE COMESTIBLES,CAJERA,"RENDICION Y MANEJO DE CAJA, ENCARGADA DE LLAVES","CAJA NO DIGITAL, POSNET, CALCULADORA, BOLIGRAFO"
9386,DESPENSA,COMERCIANTE PROPIETARIO,"COMPRA Y VENTA DE MERCADERIA, ATENCION AL PUBLICO","BALANZA, ESTANTE, MOSTRADOR, CALCULADORA"
9391,CONSEJO DE LA PROVINCIA DE CORRIENTES,CARPINTERIA,"MANTENIMIENTO DE MESAS, TECHOS EN LAS ESCUELAS","SOLDADORA, TALADRO, SERRUCHO, CLAVOS, MARTILLOS"
9393,"VENTA DE BEBIDAS, GASEOSAS, AGUAS",REPARTIDOR,"MANEJA UN CAMION, LLEVA LOS PEDIDOS A LOS NEGOCIOS","TRANSPORTE, CAMION, GUANTES, FAJAS, CAJON"
